一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量,基期销售额,基期价格,3月1日销售量,a3月1日销售额,平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,二级基期价格,一级基期价格,三级真实权重,二级真实权重,一级真实权重
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,6,4680,780,216.67%,100.00%,216.67%,62.81%,216.67%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,37,29433,795.49,139.56%,100.00%,139.56%,100.00%,139.56%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,512,77831,152.01,87.68%,100.00%,87.68%,100.00%,87.68%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月5日销售量（kg）,3月5日销售额(元),3月5日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,159.19%,86.89%,191.34%,91.79%,190.36%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,168,34621,206.08,54.23%,0.10%,,,,,,,,0.139005%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,63,27623,438.46,161.26%,4.74%,,,,,,,,6.588824%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
